,IG_MID,lstm_hurst_fit
2012-01-01,120.0,116.157814
2012-01-02,118.0,116.157814
2012-01-03,118.75,114.38651
2012-01-04,120.00099999999999,115.052284
2012-01-05,120.0,116.15869
2012-01-06,120.0,116.157814
2012-01-07,120.0,116.157814
2012-01-08,119.41700000000002,116.157814
2012-01-09,116.25,115.64283
2012-01-10,116.125,112.82613
2012-01-11,114.5,112.714325
2012-01-12,116.125,111.256424
2012-01-13,116.125,112.714325
2012-01-14,116.125,112.714325
2012-01-15,116.125,112.714325
2012-01-16,113.25,112.714325
2012-01-17,109.75,110.129715
2012-01-18,108.25000000000001,106.952034
2012-01-19,106.25000000000001,105.58046
2012-01-20,106.25000000000001,103.74326
2012-01-21,106.25000000000001,103.74326
2012-01-22,103.00000000000001,103.74326
2012-01-23,103.37500000000001,100.73881
2012-01-24,101.87500000000001,101.08661
2012-01-25,101.37500000000001,99.69374
2012-01-26,100.50000000000001,99.228485
2012-01-27,100.50000000000001,98.41317
2012-01-28,100.50000000000001,98.41317
2012-01-29,102.501,98.41317
2012-01-30,101.12500000000001,100.27557
2012-01-31,100.25000000000001,98.99568
2012-02-01,99.188,98.17996
2012-02-02,94.375,97.18809
2012-02-03,94.375,92.670296
2012-02-04,94.375,92.670296
2012-02-05,94.875,92.670296
2012-02-06,95.0,93.1412
2012-02-07,94.501,93.25887
2012-02-08,97.0,92.788994
2012-02-09,98.62500000000001,95.138626
2012-02-10,98.62500000000001,96.66148
2012-02-11,98.62500000000001,96.66148
2012-02-12,96.625,96.66148
2012-02-13,98.37500000000001,94.78662
2012-02-14,101.083,96.427475
2012-02-15,98.75000000000001,98.956566
2012-02-16,98.62500000000001,96.77844
2012-02-17,98.62500000000001,96.66148
2012-02-18,98.62500000000001,96.66148
2012-02-19,98.62500000000001,96.66148
2012-02-20,97.563,96.66148
2012-02-21,97.813,95.66672
2012-02-22,96.375,95.90105
2012-02-23,95.875,94.551834
2012-02-24,95.875,94.08198
2012-02-25,95.875,94.08198
2012-02-26,95.375,94.08198
2012-02-27,93.625,93.61176
2012-02-28,94.125,91.963326
2012-02-29,92.875,92.43472
2012-03-01,94.0,91.25565
2012-03-02,94.0,92.3169
2012-03-03,94.0,92.3169
2012-03-04,95.25,92.3169
2012-03-05,97.75,93.494156
2012-03-06,97.25,95.842
2012-03-07,95.75,95.373184
2012-03-08,95.75,93.964455
2012-03-09,95.75,93.964455
2012-03-10,95.75,93.964455
2012-03-11,95.25,93.964455
2012-03-12,91.531,93.494156
2012-03-13,90.641,89.98584
2012-03-14,90.033,89.14387
2012-03-15,88.625,88.56821
2012-03-16,88.625,87.23374
2012-03-17,88.625,87.23374
2012-03-18,85.458,87.23374
2012-03-19,87.751,84.2262
2012-03-20,87.013,86.40451
2012-03-21,90.56,85.703835
2012-03-22,91.25,89.0672
2012-03-23,91.25,89.72009
2012-03-24,91.25,89.72009
2012-03-25,88.75,89.72009
2012-03-26,89.5,87.35229
2012-03-27,90.75,88.06326
2012-03-28,92.844,89.24703
2012-03-29,91.29,91.226395
2012-03-30,91.29,89.75793
2012-03-31,91.29,89.75793
2012-04-01,90.25,89.75793
2012-04-02,90.5,88.773705
2012-04-03,92.75,89.0104
2012-04-04,96.876,91.13765
2012-04-05,96.626,95.022255
2012-04-06,96.626,94.78757
2012-04-07,96.626,94.78757
2012-04-08,101.75000000000001,94.78757
2012-04-09,104.24500000000002,99.57748
2012-04-10,102.00000000000001,101.89238
2012-04-11,96.784,99.80998
2012-04-12,101.626,94.9359
2012-04-13,101.626,99.46211
2012-04-14,101.626,99.46211
2012-04-15,101.50000000000001,99.46211
2012-04-16,98.50000000000001,99.34485
2012-04-17,99.45100000000001,96.544495
2012-04-18,100.00000000000001,97.43391
2012-04-19,99.88,97.94665
2012-04-20,99.88,97.83462
2012-04-21,99.88,97.83462
2012-04-22,100.87500000000001,97.83462
2012-04-23,99.75000000000001,98.762764
2012-04-24,97.625,97.71323
2012-04-25,95.875,95.72484
2012-04-26,94.25,94.08198
