,IG_MID,lstm_fit
2012-01-01,120.0,119.81882
2012-01-02,118.0,119.81882
2012-01-03,118.75,117.902855
2012-01-04,120.00099999999999,118.62271
2012-01-05,120.0,119.81977
2012-01-06,120.0,119.81882
2012-01-07,120.0,119.81882
2012-01-08,119.41700000000002,119.81882
2012-01-09,116.25,119.26152
2012-01-10,116.125,116.21705
2012-01-11,114.5,116.09631
2012-01-12,116.125,114.52299
2012-01-13,116.125,116.09631
2012-01-14,116.125,116.09631
2012-01-15,116.125,116.09631
2012-01-16,113.25,116.09631
2012-01-17,109.75,113.30813
2012-01-18,108.25000000000001,109.88663
2012-01-19,106.25000000000001,108.411934
2012-01-20,106.25000000000001,106.43856
2012-01-21,106.25000000000001,106.43856
2012-01-22,103.00000000000001,106.43856
2012-01-23,103.37500000000001,103.21602
2012-01-24,101.87500000000001,103.588776
2012-01-25,101.37500000000001,102.09639
2012-01-26,100.50000000000001,101.598145
2012-01-27,100.50000000000001,100.725334
2012-01-28,100.50000000000001,100.725334
2012-01-29,102.501,100.725334
2012-01-30,101.12500000000001,102.71965
2012-01-31,100.25000000000001,101.348885
2012-02-01,99.188,100.47575
2012-02-02,94.375,99.4146
2012-02-03,94.375,94.58817
2012-02-04,94.375,94.58817
2012-02-05,94.875,94.58817
2012-02-06,95.0,95.09072
2012-02-07,94.501,95.216324
2012-02-08,97.0,94.714836
2012-02-09,98.62500000000001,97.22373
2012-02-10,98.62500000000001,98.851425
2012-02-11,98.62500000000001,98.851425
2012-02-12,96.625,98.851425
2012-02-13,98.37500000000001,96.84767
2012-02-14,101.083,98.60123
2012-02-15,98.75000000000001,101.30701
2012-02-16,98.62500000000001,98.976494
2012-02-17,98.62500000000001,98.851425
2012-02-18,98.62500000000001,98.851425
2012-02-19,98.62500000000001,98.851425
2012-02-20,97.563,98.851425
2012-02-21,97.813,97.78803
2012-02-22,96.375,98.03848
2012-02-23,95.875,96.596886
2012-02-24,95.875,96.095085
2012-02-25,95.875,96.095085
2012-02-26,95.375,96.095085
2012-02-27,93.625,95.59303
2012-02-28,94.125,93.83391
2012-02-29,92.875,94.33681
2012-03-01,94.0,93.079155
2012-03-02,94.0,94.211105
2012-03-03,94.0,94.211105
2012-03-04,95.25,94.211105
2012-03-05,97.75,95.467476
2012-03-06,97.25,97.97537
2012-03-07,95.75,97.47436
2012-03-08,95.75,95.9696
2012-03-09,95.75,95.9696
2012-03-10,95.75,95.9696
2012-03-11,95.25,95.9696
2012-03-12,91.531,95.467476
2012-03-13,90.641,91.7255
2012-03-14,90.033,90.8284
2012-03-15,88.625,90.21525
2012-03-16,88.625,88.7945
2012-03-17,88.625,88.7945
2012-03-18,85.458,88.7945
2012-03-19,87.751,85.595634
2012-03-20,87.013,87.912094
2012-03-21,90.56,87.16674
2012-03-22,91.25,90.74673
2012-03-23,91.25,91.44232
2012-03-24,91.25,91.44232
2012-03-25,88.75,91.44232
2012-03-26,89.5,88.92068
2012-03-27,90.75,89.67755
2012-03-28,92.844,90.9383
2012-03-29,91.29,93.04794
2012-03-30,91.29,91.482635
2012-03-31,91.29,91.482635
2012-04-01,90.25,91.482635
2012-04-02,90.5,90.43411
2012-04-03,92.75,90.686226
2012-04-04,96.876,92.953316
2012-04-05,96.626,97.0994
2012-04-06,96.626,96.84867
2012-04-07,96.626,96.84867
2012-04-08,101.75000000000001,96.84867
2012-04-09,104.24500000000002,101.97187
2012-04-10,102.00000000000001,104.45267
2012-04-11,96.784,102.220894
2012-04-12,101.626,97.00714
2012-04-13,101.626,101.84832
2012-04-14,101.626,101.84832
2012-04-15,101.50000000000001,101.84832
2012-04-16,98.50000000000001,101.72275
2012-04-17,99.45100000000001,98.726326
2012-04-18,100.00000000000001,99.67752
2012-04-19,99.88,100.22609
2012-04-20,99.88,100.10622
2012-04-21,99.88,100.10622
2012-04-22,100.87500000000001,100.10622
2012-04-23,99.75000000000001,101.09953
2012-04-24,97.625,99.97634
2012-04-25,95.875,97.85014
2012-04-26,94.25,96.095085
2012-04-27,94.25,94.462494
2012-04-28,94.25,94.462494
2012-04-29,94.75,94.462494
2012-04-30,93.875,94.9651
2012-05-01,94.313,94.08539
2012-05-02,96.376,94.52583
2012-05-03,98.87500000000001,96.59788
2012-05-04,98.87500000000001,99.10155
2012-05-05,98.87500000000001,99.10155
2012-05-06,100.249,99.10155
2012-05-07,100.876,100.474754
2012-05-08,103.00000000000001,101.10053
2012-05-09,102.87500000000001,103.21602
2012-05-10,108.501,103.091705
2012-05-11,108.501,108.65903
2012-05-12,108.501,108.65903
2012-05-13,114.625,108.65903
2012-05-14,117.16700000000002,114.64426
2012-05-15,118.87599999999999,117.10146
2012-05-16,123.25,118.74348
2012-05-17,123.75,122.906395
2012-05-18,123.75,123.37842
2012-05-19,123.75,123.37842
2012-05-20,117.875,123.37842
2012-05-21,118.323,117.782715
2012-05-22,118.25099999999999,118.213066
2012-05-23,117.125,118.143936
2012-05-24,117.62599999999999,117.061005
2012-05-25,117.62599999999999,117.54329
2012-05-26,117.62599999999999,117.54329
2012-05-27,117.62599999999999,117.54329
2012-05-28,116.689,117.54329
2012-05-29,122.375,116.64073
2012-05-30,123.563,122.0784
2012-05-31,126.0,123.20199
2012-06-01,126.0,125.49221
2012-06-02,126.0,125.49221
2012-06-03,127.50099999999999,125.49221
2012-06-04,125.625,126.89261
2012-06-05,121.875,125.141106
2012-06-06,121.938,121.60416
2012-06-07,121.125,121.66395
2012-06-08,121.125,120.89132
2012-06-09,121.125,120.89132
2012-06-10,124.5,120.89132
2012-06-11,123.5,124.08491
2012-06-12,125.375,123.14252
2012-06-13,120.62599999999999,124.90678
2012-06-14,117.625,120.416084
2012-06-15,117.625,117.54232
2012-06-16,117.625,117.54232
2012-06-17,119.411,117.54232
2012-06-18,115.427,119.25579
2012-06-19,113.90599999999999,115.42136
2012-06-20,117.91700000000002,113.946175
2012-06-21,115.375,117.82308
2012-06-22,115.375,115.37103
2012-06-23,115.375,115.37103
2012-06-24,119.625,115.37103
2012-06-25,119.0,119.46047
2012-06-26,117.5,118.8623
2012-06-27,118.125,117.42206
2012-06-28,112.438,118.022934
2012-06-29,112.438,112.51689
2012-06-30,112.438,112.51689
2012-07-01,109.125,112.51689
2012-07-02,106.50000000000001,109.27275
2012-07-03,106.50000000000001,106.68565
2012-07-04,108.87500000000001,106.68565
2012-07-05,112.625,109.026955
2012-07-06,112.625,112.69925
2012-07-07,112.625,112.69925
2012-07-08,111.03099999999999,112.69925
2012-07-09,111.375,111.142166
2012-07-10,111.625,111.4787
2012-07-11,113.25,111.72309
2012-07-12,111.751,113.30813
2012-07-13,111.751,111.84623
2012-07-14,111.751,111.84623
2012-07-15,112.75,111.84623
2012-07-16,111.125,112.8211
2012-07-17,108.12500000000001,111.23414
2012-07-18,108.12500000000001,108.28883
2012-07-19,111.75,108.28883
2012-07-20,111.75,111.845245
2012-07-21,111.75,111.845245
2012-07-22,113.25,111.845245
2012-07-23,117.25099999999999,113.30813
2012-07-24,115.43600000000002,117.182365
2012-07-25,111.25,115.43006
2012-07-26,105.00000000000001,111.35644
2012-07-27,105.00000000000001,105.201324
2012-07-28,105.00000000000001,105.201324
2012-07-29,106.25000000000001,105.201324
2012-07-30,107.37500000000001,106.43856
2012-07-31,105.50000000000001,107.54955
2012-08-01,109.00000000000001,105.69656
2012-08-02,103.75000000000001,109.14987
2012-08-03,103.75000000000001,103.9613
2012-08-04,103.75000000000001,103.9613
2012-08-05,102.749,103.9613
2012-08-06,103.25000000000001,102.96639
2012-08-07,102.75000000000001,103.46455
2012-08-08,103.00000000000001,102.967384
2012-08-09,102.751,103.21602
2012-08-10,102.751,102.968376
2012-08-11,102.751,102.968376
2012-08-12,102.75000000000001,102.968376
2012-08-13,103.00000000000001,102.967384
2012-08-14,103.152,103.21602
2012-08-15,101.12500000000001,103.36713
2012-08-16,99.75000000000001,101.348885
2012-08-17,99.75000000000001,99.97634
2012-08-18,99.75000000000001,99.97634
2012-08-19,98.50000000000001,99.97634
2012-08-20,98.62500000000001,98.726326
2012-08-21,99.37500000000001,98.851425
2012-08-22,101.62500000000001,99.601555
2012-08-23,100.75000000000001,101.84731
2012-08-24,100.75000000000001,100.97482
2012-08-25,100.75000000000001,100.97482
2012-08-26,100.25000000000001,100.97482
2012-08-27,101.00000000000001,100.47575
2012-08-28,100.876,101.22422
2012-08-29,103.00000000000001,101.10053
2012-08-30,101.813,103.21602
2012-08-31,101.813,102.03463
2012-09-01,101.813,102.03463
2012-09-02,101.813,102.03463
2012-09-03,101.00000000000001,102.03463
2012-09-04,100.50000000000001,101.22422
2012-09-05,95.191,100.725334
2012-09-06,93.0,95.40821
2012-09-07,93.0,93.20498
2012-09-08,93.0,93.20498
2012-09-09,95.438,93.20498
2012-09-10,93.344,95.6563
2012-09-11,90.906,93.55118
2012-09-12,85.625,91.09557
2012-09-13,83.0,85.7644
2012-09-14,83.0,83.11106
2012-09-15,83.0,83.11106
2012-09-16,85.333,83.11106
2012-09-17,85.376,85.46931
2012-09-18,85.5,85.512764
2012-09-19,96.125,85.63808
2012-09-20,96.375,96.346016
2012-09-21,96.375,96.596886
2012-09-22,96.375,96.596886
2012-09-23,98.50000000000001,96.596886
2012-09-24,102.62500000000001,98.726326
2012-09-25,102.188,102.843025
2012-09-26,98.501,102.40809
2012-09-27,99.00000000000001,98.727325
2012-09-28,99.00000000000001,99.22658
2012-09-29,99.00000000000001,99.22658
2012-09-30,98.25000000000001,99.22658
2012-10-01,98.25000000000001,98.47609
2012-10-02,96.125,98.47609
2012-10-03,95.063,96.346016
2012-10-04,95.0,95.27962
2012-10-05,95.0,95.216324
2012-10-06,95.0,95.216324
2012-10-07,95.0,95.216324
2012-10-08,97.87500000000001,95.216324
2012-10-09,99.00000000000001,98.100586
2012-10-10,97.25,99.22658
2012-10-11,97.0,97.47436
2012-10-12,97.0,97.22373
2012-10-13,97.0,97.22373
2012-10-14,95.625,97.22373
2012-10-15,92.5,95.84409
2012-10-16,89.875,92.7016
2012-10-17,90.938,90.05587
2012-10-18,93.75,91.12783
2012-10-19,93.75,93.959656
2012-10-20,93.75,93.959656
2012-10-21,94.0,93.959656
2012-10-22,96.875,94.211105
2012-10-23,98.55200000000002,97.098404
2012-10-24,98.25000000000001,98.77837
2012-10-25,98.068,98.47609
2012-10-26,98.068,98.29386
2012-10-27,98.068,98.29386
2012-10-28,100.75000000000001,98.29386
2012-10-29,100.75000000000001,100.97482
2012-10-30,99.688,100.97482
2012-10-31,96.25,99.91438
2012-11-01,97.375,96.47146
2012-11-02,97.375,97.59963
2012-11-03,97.375,97.59963
2012-11-04,96.86,97.59963
2012-11-05,96.128,97.08336
2012-11-06,100.219,96.34903
2012-11-07,104.31200000000001,100.4448
2012-11-08,106.727,104.51914
2012-11-09,106.727,106.90991
2012-11-10,106.727,106.90991
2012-11-11,106.727,106.90991
2012-11-12,106.87500000000001,106.90991
2012-11-13,108.50000000000001,107.056076
2012-11-14,111.15599999999999,108.658035
2012-11-15,109.75,111.26447
2012-11-16,109.75,109.88663
2012-11-17,109.75,109.88663
2012-11-18,103.00000000000001,109.88663
2012-11-19,101.50000000000001,103.21602
2012-11-20,100.50000000000001,101.72275
2012-11-21,100.50000000000001,100.725334
2012-11-22,99.12500000000001,100.725334
2012-11-23,99.12500000000001,99.35159
2012-11-24,99.12500000000001,99.35159
2012-11-25,100.75000000000001,99.35159
2012-11-26,102.25000000000001,100.97482
2012-11-27,100.87500000000001,102.46982
2012-11-28,99.25000000000001,101.09953
2012-11-29,98.563,99.476585
2012-11-30,98.563,98.789375
2012-12-01,98.563,98.789375
2012-12-02,99.87500000000001,98.789375
2012-12-03,100.438,100.10123
2012-12-04,97.813,100.663445
2012-12-05,97.475,98.03848
2012-12-06,96.875,97.699844
2012-12-07,96.875,97.098404
2012-12-08,96.875,97.098404
2012-12-09,95.417,97.098404
2012-12-10,93.583,95.63521
2012-12-11,93.375,93.79166
2012-12-12,94.438,93.582375
2012-12-13,95.032,94.651505
2012-12-14,95.032,95.24848
2012-12-15,95.032,95.24848
2012-12-16,91.875,95.248474
2012-12-17,89.125,92.072105
2012-12-18,89.813,89.29916
2012-12-19,88.625,89.993324
2012-12-20,92.625,88.7945
2012-12-21,92.625,92.82747
2012-12-22,92.625,92.82747
2012-12-23,93.56,92.82747
2012-12-24,93.56,93.76852
2012-12-25,95.0,93.76852
2012-12-26,94.75,95.216324
2012-12-27,100.75000000000001,94.9651
2012-12-28,100.75000000000001,100.97482
2012-12-29,100.75000000000001,100.97482
2012-12-30,94.125,100.97482
2012-12-31,94.125,94.33681
2013-01-01,85.0,94.33681
2013-01-02,85.625,85.13276
2013-01-03,85.625,85.7644
2013-01-04,85.625,85.7644
2013-01-05,85.625,85.7644
2013-01-06,84.967,85.7644
2013-01-07,85.625,85.09941
2013-01-08,86.733,85.7644
2013-01-09,86.125,86.883896
2013-01-10,87.219,86.26963
2013-01-11,87.219,87.37482
2013-01-12,87.219,87.37482
2013-01-13,89.563,87.37482
2013-01-14,88.625,89.74112
2013-01-15,88.75,88.7945
2013-01-16,87.5,88.92068
2013-01-17,87.193,87.658615
2013-01-18,87.193,87.34855
2013-01-19,87.193,87.34855
2013-01-20,87.193,87.34855
