,IG_MID,svm_fit
2012-01-01,120.0,120.00985093937578
2012-01-02,120.0,119.98974198909015
2012-01-03,118.0,118.13796856046916
2012-01-04,118.75,118.74048454900016
2012-01-05,120.001,119.99775980940784
2012-01-06,120.0,120.00960117618985
2012-01-07,120.0,119.98964505292074
2012-01-08,120.0,120.25086648390467
2012-01-09,119.417,119.00844051233032
2012-01-10,116.25,116.25959101926851
2012-01-11,116.125,114.62722780384843
2012-01-12,114.5,115.22834438868645
2012-01-13,116.125,116.11522075979326
2012-01-14,116.125,116.11468923637408
2012-01-15,116.125,116.13521960930757
2012-01-16,116.125,115.69513610880743
2012-01-17,113.25,113.25986825477169
2012-01-18,109.75,109.76018129775639
2012-01-19,108.25,107.26708511135863
2012-01-20,106.25,106.25959589735288
2012-01-21,106.25,106.26002823648074
2012-01-22,106.25,106.23982433705656
2012-01-23,103.0,105.02372035201314
2012-01-24,103.375,103.11941726676267
2012-01-25,101.875,101.90873603228093
2012-01-26,101.375,101.23297269345875
2012-01-27,100.5,100.51033894800366
2012-01-28,100.5,100.49038417070076
2012-01-29,100.5,101.36026177693327
2012-01-30,102.501,101.72910414083918
2012-01-31,101.125,101.13502837997481
2012-02-01,100.25,100.26035467147626
2012-02-02,99.188,98.68201392207907
2012-02-03,94.375,96.1503561570707
2012-02-04,94.375,94.36508952283108
2012-02-05,94.375,94.3654944549306
2012-02-06,94.875,94.88509309473385
2012-02-07,95.0,94.96515575221197
2012-02-08,94.501,95.43110287775399
2012-02-09,97.0,96.98987291553743
2012-02-10,98.625,98.63460954224048
2012-02-11,98.625,98.63535256104745
2012-02-12,98.625,97.11495658181926
2012-02-13,96.625,96.63487335287643
2012-02-14,98.375,98.38511077622829
2012-02-15,101.083,99.9133669905622
2012-02-16,98.75,99.45155528421927
2012-02-17,98.625,98.61487766746767
2012-02-18,98.625,98.6150968616376
2012-02-19,98.625,98.63480286259255
2012-02-20,98.625,98.3401666029869
2012-02-21,97.563,97.98868355791149
2012-02-22,97.813,97.30779516646611
2012-02-23,96.375,96.38504194251284
2012-02-24,95.875,95.86464725026735
2012-02-25,95.875,95.86508319525345
2012-02-26,95.875,95.88465311461829
2012-02-27,95.375,95.22086170474782
2012-02-28,93.625,93.65520298044396
2012-02-29,94.125,92.42642718560099
2012-03-01,92.875,92.88505629116509
2012-03-02,94.0,93.9896821575674
2012-03-03,94.0,94.0099064116732
2012-03-04,94.0,93.98981592991464
2012-03-05,95.25,95.64208813094808
2012-03-06,97.75,97.48729231704202
2012-03-07,97.25,97.2603520121936
2012-03-08,95.75,95.76035659711064
2012-03-09,95.75,95.16199816266544
2012-03-10,95.75,95.76026875260456
2012-03-11,95.75,95.75973191064998
2012-03-12,95.25,93.84865127783206
2012-03-13,91.531,91.54111541810794
2012-03-14,90.641,90.63056024366854
2012-03-15,90.033,90.02343175180658
2012-03-16,88.625,88.9169663750812
2012-03-17,88.625,88.6149297266672
2012-03-18,88.625,88.61519104830381
2012-03-19,85.458,87.42595449155056
2012-03-20,87.751,86.74723150399589
2012-03-21,87.013,88.41687493110545
2012-03-22,90.56,90.54967026211757
2012-03-23,91.25,91.25998436314383
2012-03-24,91.25,91.25984912969231
2012-03-25,91.25,90.82860416381914
2012-03-26,88.75,89.73576163673904
2012-03-27,89.5,89.49045247054283
2012-03-28,90.75,90.75974668784636
2012-03-29,92.844,91.59084163764552
2012-03-30,91.29,91.30011860392294
2012-03-31,91.29,91.29975622894405
2012-04-01,91.29,91.28021232839079
2012-04-02,90.25,90.25975688194362
2012-04-03,90.5,90.26233502836291
2012-04-04,92.75,93.3084785770663
2012-04-05,96.876,96.7102878968966
2012-04-06,96.626,96.6359131418259
2012-04-07,96.626,94.87653124848256
2012-04-08,96.626,96.63593837518242
2012-04-09,101.75,101.74038407732125
2012-04-10,104.245,104.254726055796
2012-04-11,102.0,101.9899953790672
2012-04-12,96.784,99.48118525856118
2012-04-13,101.626,100.0350418979112
2012-04-14,101.626,101.63556456296267
2012-04-15,101.626,101.63603643329839
2012-04-16,101.5,100.26209981676249
2012-04-17,98.5,99.2430894281396
2012-04-18,99.451,99.4407452212631
2012-04-19,100.0,99.9901468884092
2012-04-20,99.88,99.8899882595898
2012-04-21,99.88,99.75891757095498
2012-04-22,99.88,100.42333803562289
2012-04-23,100.875,100.86542510509642
2012-04-24,99.75,99.73969433818125
2012-04-25,97.625,97.63493489621983
2012-04-26,95.875,95.82435780212948
2012-04-27,94.25,94.6227178239901
2012-04-28,94.25,94.23960237121634
2012-04-29,94.25,94.67562168494487
2012-04-30,94.75,94.69513024108679
2012-05-01,93.875,93.88495994328707
2012-05-02,94.313,94.30284414001655
2012-05-03,96.376,96.83128101642178
2012-05-04,98.875,98.86524639865422
2012-05-05,98.875,98.88459718919145
2012-05-06,98.875,98.88505181728922
2012-05-07,100.249,99.92347567880043
2012-05-08,100.876,101.04862831514986
2012-05-09,103.0,102.99003930998019
2012-05-10,102.875,106.34879021061707
2012-05-11,108.501,108.49090390535578
2012-05-12,108.501,108.49119003505925
2012-05-13,108.501,109.90598322566242
2012-05-14,114.625,113.89762359680664
2012-05-15,117.167,117.17709497134751
2012-05-16,118.876,118.88636003495438
2012-05-17,123.25,121.23886618507126
2012-05-18,123.75,123.75955357774271
2012-05-19,123.75,123.75994440715104
2012-05-20,123.75,121.2408557311843
2012-05-21,117.875,118.95212410924874
2012-05-22,118.323,118.31298760061864
2012-05-23,118.251,118.24138329819726
2012-05-24,117.125,117.88080920917328
2012-05-25,117.626,117.61583687702456
2012-05-26,117.626,117.63600849585578
2012-05-27,117.626,117.63568251995827
2012-05-28,117.626,117.38557380330047
2012-05-29,116.689,117.52048736445477
2012-05-30,122.375,119.67225051022146
2012-05-31,123.563,123.57341104900844
2012-06-01,126.0,125.98974466400333
2012-06-02,126.0,125.99012517480239
2012-06-03,126.0,126.48854471709856
2012-06-04,127.501,127.49065586700856
2012-06-05,125.625,125.63506141624318
2012-06-06,121.875,121.8846704785405
2012-06-07,121.938,120.45210596096734
2012-06-08,121.125,121.13545279960663
2012-06-09,121.125,121.11515018381348
2012-06-10,121.125,121.13539448148174
2012-06-11,124.5,123.16135417565596
2012-06-12,123.5,125.35841178182689
2012-06-13,125.375,124.40958559571058
2012-06-14,120.626,120.63583423511646
2012-06-15,117.625,117.61521909764062
2012-06-16,117.625,117.61487992584654
2012-06-17,117.625,118.93264223676144
2012-06-18,119.411,118.22506303081516
2012-06-19,115.427,115.43696265135708
2012-06-20,113.906,113.9156355902737
2012-06-21,117.917,114.69847415570533
2012-06-22,115.375,115.38508551049259
2012-06-23,115.375,115.36478654054433
2012-06-24,115.375,116.37347727838565
2012-06-25,119.625,118.26385200330311
2012-06-26,119.0,119.01003240855312
2012-06-27,117.5,117.50961628096533
2012-06-28,118.125,114.53546636892155
2012-06-29,112.438,112.44797151365277
2012-06-30,112.438,112.44759866369506
2012-07-01,112.438,112.10486865631616
2012-07-02,109.125,109.3482190671675
2012-07-03,106.5,106.49008359446032
2012-07-04,106.5,106.48970396838226
2012-07-05,108.875,108.88537374035721
2012-07-06,112.625,111.4454502470669
2012-07-07,112.625,112.63477347895397
2012-07-08,112.625,112.16726732973322
2012-07-09,111.031,111.04118508491653
2012-07-10,111.375,110.74134389963763
2012-07-11,111.625,111.63482038005864
2012-07-12,113.25,112.44579585762959
2012-07-13,111.751,111.95281865298655
2012-07-14,111.751,111.11489488806154
2012-07-15,111.751,111.76108085426098
2012-07-16,112.75,112.7396065924236
2012-07-17,111.125,111.11525323674763
2012-07-18,108.125,108.13467771308277
2012-07-19,108.125,108.13523869967153
2012-07-20,111.75,110.83533459020772
2012-07-21,111.75,112.05887255637201
2012-07-22,111.75,111.74003824919612
2012-07-23,113.25,113.26041763286952
2012-07-24,117.251,115.90709741822045
2012-07-25,115.436,115.4459669623076
2012-07-26,111.25,111.24035969772734
2012-07-27,105.0,106.8878075202195
2012-07-28,105.0,104.88994056989586
2012-07-29,105.0,105.00954473237722
2012-07-30,106.25,106.26004882467834
2012-07-31,107.375,107.36482959762536
2012-08-01,105.5,106.92045592640426
2012-08-02,109.0,105.09488623456116
2012-08-03,103.75,103.76013279956177
2012-08-04,103.75,103.75979554370463
2012-08-05,103.75,103.74042769817544
2012-08-06,102.749,102.89807120961147
2012-08-07,103.25,102.39588266292978
2012-08-08,102.75,102.75991297100711
2012-08-09,103.0,102.9669081722393
2012-08-10,102.751,102.76094813047573
2012-08-11,102.751,102.7406104262538
2012-08-12,102.751,102.76138443430403
2012-08-13,102.75,102.74040949499162
2012-08-14,103.0,103.00998575618998
2012-08-15,103.152,102.72973512184558
2012-08-16,101.125,101.13529156712481
2012-08-17,99.75,99.73975066058047
2012-08-18,99.75,99.76023531674173
2012-08-19,99.75,99.73959331894167
2012-08-20,98.5,98.80282614576689
2012-08-21,98.625,98.61498626017303
2012-08-22,99.375,99.83235786633404
2012-08-23,101.625,100.76674288673938
2012-08-24,100.75,100.7599206744832
2012-08-25,100.75,100.76035668055236
2012-08-26,100.75,100.73979873544057
2012-08-27,100.25,100.26017500511948
2012-08-28,101.0,100.14068989235028
2012-08-29,100.876,100.88562452408296
2012-08-30,103.0,101.63408123752001
2012-08-31,101.813,101.8294568939921
2012-09-01,101.813,101.80351596899187
2012-09-02,101.813,101.82306043951569
